,date,id,content,username,like_count,retweet_count
0,2023-06-10 11:48:01+00:00,1667498850146488320,gue orang bogor tapi bingung sama rute biskita bogor,wujijuyu,0,0
1,2023-06-10 10:23:02+00:00,1667477465097469952,biskita koridor 1 klo sore jrg bgtt😮‍💨😮‍💨,njaemmmn,0,0
2,2023-06-10 01:30:43+00:00,1667343503909855232,ustad liat ustad ada yg males mandi padahal harus ke kantor jam 10 berarti gw harus naik biskita jam set 10an paling telat krn ke kota berarti gw harus siap siap jam 9 dan HARUS MANDI SEKARANG tapi malesszzz dingin,atmylowestlow,0,0
3,2023-06-09 05:34:14+00:00,1667042396390191106,@obese_doc Biskita apa eh maksud dia? 😂,EastMister0822,0,0
4,2023-06-09 05:32:39+00:00,1667041998963097600,"@EastMister0822 Biskita urang kitani jua

(Not a Bruneian)",obese_doc,2,0
5,2023-06-09 05:14:03+00:00,1667037319650775040,"weheey.. mayan ada peningkatan. Cuma itu mesin tap nya masih kurang handal euy.. jauh beda sama yg dipake TransPakuan BisKita.. tinggal tap sebentar langsung respons.. 
@PT_Transjakarta",Pak_Dimas,0,1
6,2023-06-09 04:23:58+00:00,1667024715939213312,"Kata temen gue, tj - biskita diconnect deket2 waktu kami baru bucin tuh adalah cara alloh buat mempermudah jodoh gua apaaa bgt anjir wkwkkwkw",velvetkarachi,0,0
7,2023-06-08 23:04:15+00:00,1666944255418572800,ternyata kalo ga macet naik biskita st-bubulak cuma 15 menit dih,shabutterfield,0,0
8,2023-06-08 16:28:56+00:00,1666844770684256256,"@milawiyono Mohon perbaikannya @biskita
Kasihan ini temen saya. Wkwkwk",m_fadhilamin,1,0
9,2023-06-08 07:59:24+00:00,1666716542825013248,"Akan ada BisKita dengan tujuan Bogor-Cibubur, dan perjalanan ke Jakarta akan melanjutkan perjalanan dengan Transjakarta dari Cibubur. Beberapa poin akan jadi hal yang diperhatikan saat uji coba. Seperti titik keberangkatan dari Bogor, jalur rute, hingga tarif.",infobogor,2,0
10,2023-06-08 07:59:23+00:00,1666716539134017538,"Sempat diundur, Transjakarta berencana akan mulai melakukan uji coba integrasi angkutan umum Bogor-Jakarta dan sebaliknya pada Juli 2023 nanti. Layanan integrasi ini akan bekerjasama dengan BisKita Transpakuan.

#infobogor #beritabogor #beritahariini #welovebogor https://t.co/rUOLaDc4cn",infobogor,21,4
11,2023-06-08 07:35:52+00:00,1666710620081889280,@trashnyarsy @txtdaribogor TERHARU PULANG BS NAIK BISKITA,dheyydin29,0,0
