date,content,tweets-cleaned,tweets-norm,stopwords-remove,stemmed_tweets,tokenized_content,tokenized_without_stemmed,label-fix
2023-06-24 23:02:44,"@junehokiw @bogorfess_ kurangg tau kalo itu, cuman barusan gua abis dari luar udaa ada biskita dijalanan.",kurangg tau kalo itu cuman barusan gua abis dari luar udaa ada biskita dijalanan,kurang tau kalo itu cuman barusan aku habis dari luar udah ada biskita dijalanan,kurang tau kalo cuman barusan habis udah biskita dijalanan,kurang tau kalo cuman barusan habis udah biskita jalan,"['kurang', 'tau', 'kalo', 'cuman', 'barusan', 'habis', 'udah', 'biskita', 'jalan']","['kurang', 'tau', 'kalo', 'cuman', 'barusan', 'habis', 'udah', 'biskita', 'dijalanan']",Spam/Hapus
2023-06-24 22:45:38,[bgr] biskita jam segini udah ada belum guys??,bgr biskita jam segini udah ada belum guys,bgr biskita jam segini sudah ada belum guys,bgr biskita jam segini belum guys,bgr biskita jam gin belum guys,"['bgr', 'biskita', 'jam', 'gin', 'belum', 'guys']","['bgr', 'biskita', 'jam', 'segini', 'belum', 'guys']",Netral
2023-06-24 14:59:42,angkot berguna soalnya yakali lu dr bogor ampe cangkrang mau JALAN KAKI mikir dah mnurut gw mah mau pake biskita emg biskita muat lewat nagrak💀💀💀💀 ngakak anyinh,angkot berguna soalnya yakali lu dr bogor ampe cangkrang mau jalan kaki mikir dah mnurut gw mah mau pake biskita emg biskita muat lewat nagrak ngakak anyinh,angkot berguna soalnya yakali lu dari bogor sampai cangkrang mau jalan kaki mikir udah menurut aku mah mau pakai biskita memang biskita muat lewat nagrak mengakak anjing,angkot berguna yakali lu bogor cangkrang mau jalan kaki mikir udah mah mau pakai biskita biskita muat nagrak mengakak anjing,angkot guna yakali lu bogor cangkrang mau jalan kaki mikir udah mah mau pakai biskita biskita muat nagrak akak anjing,"['angkot', 'guna', 'yakali', 'lu', 'bogor', 'cangkrang', 'mau', 'jalan', 'kaki', 'mikir', 'udah', 'mah', 'mau', 'pakai', 'biskita', 'biskita', 'muat', 'nagrak', 'akak', 'anjing']","['angkot', 'berguna', 'yakali', 'lu', 'bogor', 'cangkrang', 'mau', 'jalan', 'kaki', 'mikir', 'udah', 'mah', 'mau', 'pakai', 'biskita', 'biskita', 'muat', 'nagrak', 'mengakak', 'anjing']",Negatif
2023-06-24 14:39:07,[bgr] bayar biskita bisa pake kartu apa aja ya??,bgr bayar biskita bisa pake kartu apa aja ya,bgr bayar biskita bisa pakai kartu apa saja ya,bgr bayar biskita bisa pakai kartu apa ya,bgr bayar biskita bisa pakai kartu apa ya,"['bgr', 'bayar', 'biskita', 'bisa', 'pakai', 'kartu', 'apa', 'ya']","['bgr', 'bayar', 'biskita', 'bisa', 'pakai', 'kartu', 'apa', 'ya']",Netral
2023-06-24 13:24:14,@bogorfess_ Caranya gimana min?? Aku mau nanya seputat biskita nihh :',caranya gimana min aku mau nanya seputat biskita nihh,caranya bagaimana min aku mau bertanya seputar biskita nih,bagaimana min mau seputar biskita nih,bagaimana min mau putar biskita nih,"['bagaimana', 'min', 'mau', 'putar', 'biskita', 'nih']","['bagaimana', 'min', 'mau', 'seputar', 'biskita', 'nih']",Netral
2023-06-24 12:49:22,"mau tanya dong, cara dapet kartu buat naik Biskita Trans Pakuan Bogor gimana ya? atau beli kek kartu KRL gitu?",mau tanya dong cara dapet kartu buat naik biskita trans pakuan bogor gimana ya atau beli kek kartu krl gitu,mau tanya dong cara dapat kartu buat naik biskita trans pakuan bogor bagaimana ya atau beli kayak kartu krl begitu,mau tanya kartu naik biskita trans pakuan bogor bagaimana ya beli kayak kartu krl,mau tanya kartu naik biskita trans paku bogor bagaimana ya beli kayak kartu krl,"['mau', 'tanya', 'kartu', 'naik', 'biskita', 'trans', 'paku', 'bogor', 'bagaimana', 'ya', 'beli', 'kayak', 'kartu', 'krl']","['mau', 'tanya', 'kartu', 'naik', 'biskita', 'trans', 'pakuan', 'bogor', 'bagaimana', 'ya', 'beli', 'kayak', 'kartu', 'krl']",Netral
2023-06-24 12:32:09,"ah lama bgt inimahh, nunggu biskita dateng",ah lama bgt inimahh nunggu biskita dateng,ah lama banget inimahh menunggu biskita datang,ah lama banget inimahh menunggu biskita datang,ah lama banget inimahh tunggu biskita datang,"['ah', 'lama', 'banget', 'inimahh', 'tunggu', 'biskita', 'datang']","['ah', 'lama', 'banget', 'inimahh', 'menunggu', 'biskita', 'datang']",Negatif
2023-06-24 11:23:18,"udah lama disini, tapi baru ini naik transpakuan malem” https://t.co/hTwPMtK4oJ",udah lama disini tapi baru ini naik transpakuan malem,sudah lama disini tapi baru ini naik transpakuan malam,lama naik transpakuan malam,lama naik transpakuan malam,"['lama', 'naik', 'transpakuan', 'malam']","['lama', 'naik', 'transpakuan', 'malam']",Positif
2023-06-24 10:10:34,"Trans Jakarta ✅
Trans Pakuan ✅
Batik Solo Trans ✅
Trans Jogja ✅

Bulan depan transit di Makassar tapi masih ga yakin buat coba transumnya 🥲","trans jakarta 
trans pakuan 
batik solo trans 
trans jogja 

bulan depan transit di makassar tapi masih ga yakin buat coba transumnya",trans jakarta trans pakuan batik solo trans trans jogja bulan depan transit di makassar tapi masih enggak yakin buat coba transumnya,trans jakarta trans pakuan batik solo trans trans jogja transit makassar coba transumnya,trans jakarta trans paku batik solo trans trans jogja transit makassar coba transumnya,"['trans', 'jakarta', 'trans', 'paku', 'batik', 'solo', 'trans', 'trans', 'jogja', 'transit', 'makassar', 'coba', 'transumnya']","['trans', 'jakarta', 'trans', 'pakuan', 'batik', 'solo', 'trans', 'trans', 'jogja', 'transit', 'makassar', 'coba', 'transumnya']",Netral
2023-06-24 03:17:24,@rundiiin ngetem wkwkw biskita mah udh ada jam brangkatnya gasii,ngetem wkwkw biskita mah udh ada jam brangkatnya gasii,ngetem wkwkw biskita mah sudah ada jam brangkatnya gasii,ngetem wkwkw biskita mah jam brangkatnya gasii,ngetem wkwkw biskita mah jam brangkatnya gasii,"['ngetem', 'wkwkw', 'biskita', 'mah', 'jam', 'brangkatnya', 'gasii']","['ngetem', 'wkwkw', 'biskita', 'mah', 'jam', 'brangkatnya', 'gasii']",Positif
